File ID,No. putative ORFs,fasta_dna_parser,orf_finder,orf_data_collector,No. of sequences,Length of sequences,Total bp
n1_l10,323,0.003339,0.015909,0.019567,1,10,10
n10_l10,3107,0.015148,0.06194,0.155871,10,10,100
n100_l10,30568,0.017215,0.613179,1.552251,100,10,1000
n1000_l10,310304,0.122969,6.372596,15.796138,1000,10,10000
n1_l100,3157,0.018032,0.065278,0.158162,1,100,100
n10_l100,31182,0.009284,0.649039,1.603301,10,100,1000
n100_l100,312128,0.100217,6.878086,16.895419,100,100,10000
n1_l1000,30962,0.033368,0.649694,1.666204,1,1000,1000
n10_l1000,312229,0.100124,6.948189,16.691082,10,1000,10000
n1_l10000,313846,0.104934,6.914748,16.881275,1,10000,10000
