File ID,No. putative ORFs,fasta_dna_parser Level 3,orf_finder Level 3,fasta_dna_parser Level 2,orf_finder Level 2,No. of sequences,Length of sequences,Total bp
n1_l10,323,0.000503,0.009956,0.0,0.012504,1,10,10
n10_l10,294,0.003026,0.028077,0.015622,0.053851,10,10,100
n100_l10,349,0.006005,0.340543,0.0,0.533636,100,10,1000
n1000_l10,302,0.100017,3.382782,0.133127,5.916263,1000,10,10000
n1_l100,3157,0.0,0.081704,0.000558,0.050129,1,100,100
n10_l100,3092,0.016583,0.366521,0.016654,0.583268,10,100,1000
n100_l100,3241,0.100071,3.463988,0.101673,6.048494,100,100,10000
n1_l1000,30962,0.017432,1.235384,0.013386,0.658719,1,1000,1000
n10_l1000,31269,0.100062,4.676022,0.117585,6.111633,10,1000,10000
n1_l10000,313846,0.11594,73.597415,0.151219,5.898853,1,10000,10000
n1_l1,21,0.0,0.0,0.0,0.0,1,1,1
n10_l1,30,0.0,0.012381,0.000998,0.003405,10,1,10
n100_l1,26,0.0,0.027061,0.013557,0.058973,100,1,100
n500_l1,23,0.007748,0.152878,0.001148,0.269817,500,1,500
n1000_l1,28,0.01295,0.330172,0.016097,0.517381,1000,1,1000
n2500_l1,33,0.035279,0.764233,0.033273,1.34965,2500,1,2500
n5000_l1,21,0.082298,1.600749,0.066637,2.599406,5000,1,5000
n7500_l1,26,0.237428,2.480566,0.117003,3.982725,7500,1,7500
n10000_l1,28,0.147193,3.182323,0.166455,5.234793,10000,1,10000
n1_l25,789,0.013686,0.017363,0.0,0.0,1,25,25
n1_l250,7797,0.016509,0.202737,0.0,0.13038,1,250,250
n1_l2500,77958,0.033302,4.865535,0.016598,1.383245,1,2500,2500
n1_l50,1522,0.0,0.033375,0.0,0.033211,1,50,50
n1_l500,15627,0.0,0.483145,0.0,0.282263,1,500,500
n1_l5000,156770,0.033814,16.765624,0.046728,2.940836,1,5000,5000
n1_l75,2320,0.0,0.058485,0.0,0.041376,1,75,75
n1_l750,23632,0.010931,0.849705,0.0,0.447759,1,750,750
n1_l7500,234449,0.066566,33.308442,0.092185,4.392452,1,7500,7500
n10_l25,776,0.0,0.099908,0.0,0.147732,10,25,250
n10_l250,7731,0.016686,0.98197,0.017658,1.549745,10,250,2500
n10_l50,1562,0.0,0.216494,0.0,0.318918,10,50,500
n10_l500,15542,0.059596,2.187492,0.050215,3.065736,10,500,5000
n10_l75,2393,0.0,0.30432,0.01396,0.431608,10,75,750
n10_l750,23693,0.083383,3.299251,0.066628,4.565478,10,750,7500
n250_l10,316,0.033245,0.883047,0.033312,1.483081,250,10,2500
n500_l10,310,0.06669,1.932734,0.063804,2.905023,500,10,5000
n750_l10,334,0.095264,2.633452,0.083335,4.516629,750,10,7500
n25_l100,3215,0.033237,0.885637,0.031019,1.567698,25,100,2500
n50_l100,3114,0.046767,1.884513,0.050023,2.934499,50,100,5000
n75_l100,3177,0.064828,2.748721,0.067292,4.548683,75,100,7500
n100_l25,814,0.032332,0.850796,0.035627,1.481274,100,25,2500
n100_l50,1622,0.048333,1.93403,0.05241,2.963518,100,50,5000
n100_l75,2300,0.066446,2.649651,0.083058,4.415595,100,75,7500
